"Qty","Value","Reference","MPN"
"4","100n","C1,C2,C16,C17","CL03A104KP3NNNC"
"1","100u","C3","GPC1210107-6.3"
"5","10u","C4,C6,C8,C12,C13","GPC0402106-6.3"
"4","100n","C5,C9,C11,C19","GPC0402104-25"
"1","4.7u","C7","GPC1206475"
"1","22uF","C10","GPC1206475"
"2","22u","C14,C15","MLAST21GBB5226MTNC12"
"2","10u","C18,Cin1","GPC0805106-35"
"2","4.7u","C20,C21","GPC0603475-10"
"2","220p","C22,C23","GPC0402221-10"
"1","100nF","Cboot1","GPC0402104"
"1","100n","Cinx1","GPC0603104-100"
"1","33n","Css1","04023C333KAT2A"
"2","ESD122DMYR","D1,D4","ESD122DMYR"
"4","TPD1E05U06DPYR","D2,D3,D5,D6","TPD1E05U06DPYR"
"1","BB-2020BGR-TRB","D7","BB-2020BGR-TRB"
"1","TPS25730DREFR","IC1","TPS25730DREFR"
"2","TVS3301DRBR","IC2,IC6","TVS3301DRBR"
"1","MCP1416T-E_OT","IC3","MCP1416T-E/OT"
"1","ADS1220IRVAR","IC4","ADS1220IRVAR"
"1","MAX31865ATP+T","IC5","MAX31865ATP+T"
"1","INA260AIPWR","IC7","INA260AIPWR"
"1","AP7361E-33FGE-7","IC8","AP7361E-33FGE-7"
"1","LM66200DRLR","IC9","LM66200DRLR"
"2","USB4730-GF-A-KIT","J1,J5","USB4730-GF-A-KIT"
"1","NTMFS5C612NLT1G","J2","NTMFS5C612NLT1G"
"1","WE-MAPI_3020HT","L1",""
"1","VLMTG1500-GS08","LED1","VLMTG1500-GS08"
"7","10k","R1,R2,R4,R5,R8,R12,R34","GPR040210K"
"1","52.3k","R3","WR04X3092FTR "
"4","5.1k","R6,R7,R66,R77","GPR04025K1"
"1","20R","R9","GPR040220R"
"1","20k","R10","GPR040220K"
"3","100k","R11,R23,R26","GPR0402100K"
"3","2.7k","R13,R14,R24","GPR04022K7"
"1","430","R15","GPR0402430R"
"1","4300","R16","GPR04024K3"
"4","10k","R17,R18,R19,R33","GPR020110K"
"1","11k","R20","GPR040211K"
"1","0","R21","GPR04020R"
"1","10M","R22","GPR040210M"
"2","18k","R25,R27","GPR040218R"
"1","9.1k","R28","GPR04029K1"
"2","22","R29,R30","0201WMF220JTEE"
"1","3k3","R31","GPR04023K3"
"1","1k","R32","GPR04021K"
"2","B3U-3000P-B","S1,S3","B3U-3000P-B"
"1","TPS62933DRLR","U1","TPS62933DRLR"
"1","ESP32-C6-MINI-1","U4","ESP32-C6-MINI-1-H4"
