Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0201_0603Metric",208.900000,-36.670000,90.000000,top
"C2","100n","C_0201_0603Metric",208.920000,-38.135000,-90.000000,top
"C3","100u","C_1210_3225Metric",196.530000,-37.615000,-90.000000,top
"C4","10u","C_0402_1005Metric",200.660000,-50.470000,0.000000,top
"C5","100n","C_0402_1005Metric",200.660000,-49.480000,0.000000,top
"C6","10u","C_0402_1005Metric",200.800000,-23.210000,0.000000,top
"C7","4.7u","C_1206_3216Metric",204.500000,-31.020000,-90.000000,top
"C8","10u","C_0402_1005Metric",193.190000,-19.440000,-90.000000,top
"C9","100n","C_0402_1005Metric",178.832000,-25.405000,-90.000000,top
"C10","22uF","C_1206_3216Metric",192.520000,-28.230000,90.000000,top
"C11","100n","C_0402_1005Metric",178.120000,-38.405000,-90.000000,top
"C12","10u","C_0402_1005Metric",195.960000,-19.510000,90.000000,top
"C13","10u","C_0402_1005Metric",200.800000,-22.290000,0.000000,top
"C14","22u","C_0805_2012Metric",190.350000,-27.640000,90.000000,top
"C15","22u","C_0805_2012Metric",188.250000,-31.090000,-90.000000,top
"C16","100n","C_0201_0603Metric",178.439293,-43.775000,-90.000000,top
"C17","100n","C_0201_0603Metric",177.710000,-43.775000,-90.000000,top
"C18","10u","C_0805_2012Metric",190.300000,-31.100000,-90.000000,top
"C19","100n","C_0402_1005Metric",190.500000,-24.550000,0.000000,top
"C20","4.7u","C_0603_1608Metric",191.295000,-34.900000,180.000000,top
"C21","4.7u","C_0603_1608Metric",190.510000,-37.650000,90.000000,top
"C22","220p","C_0402_1005Metric",202.880000,-27.540000,180.000000,top
"C23","220p","C_0402_1005Metric",201.400000,-26.970000,-90.000000,top
"Cboot1","100nF","C_0402_1005Metric",201.640000,-34.860000,-90.000000,top
"Cin1","10u","C_0805_2012Metric",196.880000,-32.610000,0.000000,top
"Cinx1","100n","C_0603_1608Metric",197.095000,-34.380000,0.000000,top
"Css1","33n","C_0402_1005Metric",202.090000,-33.430000,0.000000,top
"D1","ESD122DMYR","DIO_ESD122DMYR",202.407500,-47.770000,0.000000,top
"D2","TPD1E05U06DPYR","DIO_TPD1E05U06DPYR",202.768500,-45.700000,180.000000,top
"D3","TPD1E05U06DPYR","DIO_TPD1E05U06DPYR",202.660000,-49.260000,180.000000,top
"D4","ESD122DMYR","DIO_ESD122DMYR",203.243500,-23.895000,0.000000,top
"D5","TPD1E05U06DPYR","DIO_TPD1E05U06DPYR",202.768500,-22.395000,180.000000,top
"D6","TPD1E05U06DPYR","DIO_TPD1E05U06DPYR",202.770000,-25.390000,180.000000,top
"D7","BB-2020BGR-TRB","LED_BB-2020BGR-TRB",201.200000,-52.420000,90.000000,top
"IC1","TPS25730DREFR","TPS25730DREFR",197.470000,-25.145000,-90.000000,top
"IC2","TVS3301DRBR","TVS3301DRBR",204.775000,-40.560000,90.000000,top
"IC3","MCP1416T-E_OT","SOT95P270X145-5N",189.970000,-21.820000,90.000000,top
"IC4","ADS1220IRVAR","QFN50P350X350X100-17N-D",181.200000,-46.450000,-90.000000,top
"IC5","MAX31865ATP+T","QFN65P500X500X80-21N",181.920000,-38.650000,-90.000000,top
"IC6","TVS3301DRBR","TVS3301DRBR",207.589000,-32.285000,-90.000000,top
"IC7","INA260AIPWR","SOP65P640X120-16N",183.292000,-27.025000,180.000000,top
"IC8","AP7361E-33FGE-7","SON65P300X300X63-9N",193.095000,-37.790000,90.000000,top
"IC9","LM66200DRLR","SOTFL50P160X60-8N",188.492000,-35.650000,180.000000,top
"J2","NTMFS5C612NLT1G","NTMFS5C612NLT1G",183.231000,-21.303000,90.000000,top
"L1","WE-MAPI_3020HT","WE-MAPI_3020",200.180000,-37.770000,180.000000,top
"LED1","VLMTG1500-GS08","VLMTG1500GS08",192.710000,-31.950000,0.000000,top
"R1","10k","R_0402_1005Metric",201.630000,-29.480000,0.000000,top
"R2","10k","R_0402_1005Metric",201.630000,-28.510000,0.000000,top
"R3","52.3k","R_0402_1005Metric",202.110000,-32.450000,180.000000,top
"R4","10k","R_0402_1005Metric",202.110000,-31.470000,0.000000,top
"R5","10k","R_0402_1005Metric",193.940000,-21.390000,-90.000000,top
"R6","5.1k","R_0402_1005Metric",202.780000,-50.340000,180.000000,top
"R7","5.1k","R_0402_1005Metric",202.890000,-44.680000,180.000000,top
"R8","10k","R_0402_1005Metric",188.360000,-26.260000,0.000000,top
"R9","20R","R_0402_1005Metric",187.705000,-19.070000,180.000000,top
"R10","20k","R_0402_1005Metric",189.680000,-19.070000,0.000000,top
"R11","100k","R_0402_1005Metric",201.480000,-19.580000,-90.000000,top
"R12","10k","R_0402_1005Metric",188.360000,-27.350000,0.000000,top
"R13","2.7k","R_0201_0603Metric",183.710000,-30.735000,90.000000,top
"R14","2.7k","R_0201_0603Metric",182.710000,-30.745000,90.000000,top
"R15","430","R_0402_1005Metric",182.070000,-34.980000,0.000000,top
"R16","4300","R_0402_1005Metric",184.560000,-34.980000,180.000000,top
"R17","10k","R_0201_0603Metric",179.770000,-42.620000,-90.000000,top
"R18","10k","R_0201_0603Metric",180.520000,-43.340000,-90.000000,top
"R19","10k","R_0201_0603Metric",184.010000,-42.870000,45.000000,top
"R20","11k","R_0402_1005Metric",200.810000,-21.350000,0.000000,top
"R21","0","R_0402_1005Metric",198.160000,-20.060000,0.000000,top
"R22","10M","R_0402_1005Metric",200.020000,-20.060000,0.000000,top
"R23","100k","R_0402_1005Metric",200.020000,-19.120000,180.000000,top
"R24","2.7k","R_0201_0603Metric",184.720000,-30.745000,90.000000,top
"R25","18k","R_0402_1005Metric",198.160000,-19.120000,180.000000,top
"R26","100k","R_0402_1005Metric",194.914063,-19.530000,-90.000000,top
"R27","18k","R_0402_1005Metric",194.910000,-21.389999,-90.000000,top
"R28","9.1k","R_0402_1005Metric",199.583205,-31.781658,0.000000,top
"R29","22","R_0201_0603Metric",197.285000,-41.470000,180.000000,top
"R30","22","R_0201_0603Metric",197.295000,-40.700000,180.000000,top
"R31","3k3","R_0402_1005Metric",188.115000,-41.610000,135.000000,top
"R32","1k","R_0402_1005Metric",188.800000,-33.900000,180.000000,top
"R33","10k","R_0201_0603Metric",188.492000,-37.320000,0.000000,top
"R34","10k","R_0402_1005Metric",194.680000,-30.650000,-90.000000,top
"R66","5.1k","R_0402_1005Metric",202.860000,-26.530000,180.000000,top
"R77","5.1k","R_0402_1005Metric",202.890000,-21.320000,180.000000,top
"S1","B3U-3000P-B","B3U3000PB",210.790000,-33.620000,-90.000000,top
"S3","B3U-3000P-B","B3U3000PB",210.770000,-38.477500,-90.000000,top
"U1","TPS62933DRLR","SOTFL50P160X60-8N",199.902000,-33.570000,0.000000,top
"U4","ESP32-C6-MINI-1","ESP32-C6-MINI-1",192.850000,-48.440000,180.000000,top
